id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Monte;McLaughlin;Dorris.Torphy@yahoo.com;Frozen bus;2019-07-04T09:49:12;72172;56127
2;Darwin;Russel;Jeremie_Bauch@gmail.com;Small partnerships;2019-07-04T23:14:15;3142;89576
3;Lou;Krajcik;Kelton_Lang13@gmail.com;Investment Account;2019-07-04T15:07:21;75555;20306
4;Danyka;Weissnat;Lavinia.Green88@gmail.com;Auto Loan Account modular Refined;2019-07-04T17:07:19;80367;21844
5;Ciara;Johns;Shaun80@hotmail.com;National;2019-07-04T20:26:48;90682;11005
6;Donnie;Farrell;Hertha.Abbott86@yahoo.com;Games;2019-07-04T15:49:15;53408;41741
7;Jazmin;Ernser;Blanca.Gleichner@hotmail.com;Gloves sky blue Oklahoma;2019-07-04T18:23:12;36362;6489
8;Wanda;Funk;Delia.Fritsch71@hotmail.com;Plastic;2019-07-04T04:07:59;3688;26678
9;Leonard;Wolf;Hallie27@yahoo.com;Investor Public-key;2019-07-05T00:36:04;53093;48945
10;Isai;Yost;Deangelo.McLaughlin76@yahoo.com;Ergonomic transmitter;2019-07-04T19:15:07;47030;63230
